payment_reference,occurrences,payment_ids,accounts,amounts,providers
TXN0000014453,2,2,2,2,2
TXN0000014470,2,1,1,1,1
TXN0000014476,2,2,2,2,2
TXN0000014487,3,2,2,2,1
TXN0000014494,2,2,2,2,2
TXN0000014503,2,2,2,2,1
TXN0000014521,2,1,1,1,1
TXN0000014541,2,2,2,2,2
TXN0000014559,3,3,3,3,3
TXN0000014597,2,2,2,2,2
TXN0000014612,2,2,2,2,2
TXN0000014613,2,2,2,2,2
TXN0000014619,3,3,3,3,3
TXN0000014623,2,2,2,2,2
TXN0000014628,2,2,2,2,1
TXN0000014639,2,2,2,2,2
TXN0000014651,2,2,2,2,2
TXN0000014666,2,2,2,2,2
TXN0000014672,2,2,2,2,2
TXN0000014676,2,1,1,1,1
TXN0000014711,2,2,2,2,2
TXN0000014720,3,2,2,2,2
TXN0000014726,2,2,2,2,2
TXN0000014756,2,2,2,2,2
TXN0000014758,2,2,2,2,2
TXN0000014780,2,2,2,2,2
TXN0000014788,2,2,2,2,2
TXN0000014803,2,2,2,2,2
TXN0000014818,2,2,2,2,2
TXN0000014839,2,2,2,2,2
TXN0000014847,2,2,2,2,1
TXN0000014848,2,2,2,2,2
TXN0000014858,2,2,2,2,2
TXN0000014871,2,1,1,1,1
TXN0000014884,2,2,2,2,2
TXN0000014901,3,3,3,3,2
TXN0000014919,2,2,2,2,2
TXN0000014929,2,1,1,1,1
TXN0000014933,2,2,2,2,2
TXN0000014935,2,2,2,2,2
TXN0000014979,2,2,2,2,2
TXN0000015000,2,2,2,2,2
TXN0000015097,2,2,2,2,1
TXN0000015103,2,2,2,2,2
TXN0000015104,2,2,2,2,2
TXN0000015109,2,2,2,2,2
TXN0000015115,3,2,2,2,2
TXN0000015235,2,2,2,2,1
TXN0000015256,2,2,2,2,2
TXN0000015261,2,2,2,2,2
TXN0000015277,2,2,2,2,2
TXN0000015281,3,3,3,3,2
TXN0000015282,2,2,2,2,2
TXN0000015310,2,2,2,2,2
TXN0000015344,2,2,2,2,2
TXN0000015347,2,2,2,2,2
TXN0000015391,3,3,3,3,3
TXN0000015398,3,3,3,3,3
TXN0000015424,2,1,1,1,1
TXN0000015431,2,2,2,2,2
TXN0000015458,2,1,1,1,1
TXN0000015483,2,2,2,2,2
TXN0000015512,2,1,1,1,1
TXN0000015520,2,2,2,2,2
TXN0000015621,2,2,2,2,2
TXN0000015652,2,2,2,2,2
TXN0000015662,2,2,2,2,1
TXN0000015686,2,2,2,2,2
TXN0000015747,2,1,1,1,1
TXN0000015757,2,2,2,2,2
TXN0000015759,2,2,2,2,2
TXN0000015772,2,1,1,1,1
TXN0000015773,2,2,2,2,2
TXN0000015793,2,2,2,2,2
TXN0000015797,2,2,2,2,2
TXN0000015817,3,3,3,3,2
TXN0000015829,2,2,2,2,2
TXN0000015842,2,2,2,2,2
TXN0000015843,2,2,2,2,2
TXN0000015844,2,2,2,2,2
TXN0000015876,2,2,2,2,2
TXN0000015928,2,1,1,1,1
TXN0000015934,2,2,2,2,1
TXN0000015958,3,3,3,3,3
TXN0000015965,2,1,1,1,1
TXN0000015977,2,2,2,2,2
TXN0000015989,2,2,2,2,2
TXN0000016028,2,2,2,2,2
TXN0000016031,2,2,2,2,2
TXN0000016058,2,2,2,2,2
TXN0000016095,2,2,2,2,2
TXN0000016106,2,1,1,1,1
TXN0000016149,2,2,2,2,2
TXN0000016178,2,2,2,2,2
TXN0000016181,2,2,2,2,2
TXN0000016226,2,2,2,2,2
TXN0000016236,2,2,2,2,2
TXN0000016260,2,2,2,2,2
TXN0000016261,2,2,2,2,2
TXN0000016272,2,2,2,2,2
TXN0000016325,2,2,2,2,2
TXN0000016339,2,2,2,2,2
TXN0000016358,2,2,2,2,2
TXN0000016366,2,2,2,2,2
TXN0000016416,3,2,2,2,2
TXN0000016435,2,2,2,2,2
TXN0000016462,3,3,3,3,3
TXN0000016465,2,2,2,2,2
TXN0000016509,2,2,2,2,2
TXN0000016517,3,3,3,3,3
TXN0000016538,2,2,2,2,2
TXN0000016554,2,2,2,2,2
TXN0000016558,2,2,2,2,2
TXN0000016571,2,2,2,2,2
TXN0000016584,3,2,2,2,2
TXN0000016607,3,3,3,3,2
TXN0000016608,4,3,3,3,3
TXN0000016627,2,2,2,2,2
TXN0000016644,2,1,1,1,1
TXN0000016647,3,3,3,3,3
TXN0000016660,2,2,2,2,2
TXN0000016664,2,2,2,2,2
TXN0000016669,2,2,2,2,2
TXN0000016705,2,2,2,2,2
TXN0000016725,2,2,2,2,2
TXN0000016740,2,2,2,2,2
TXN0000016761,2,2,2,2,2
TXN0000016767,3,3,3,3,3
TXN0000016781,2,2,2,2,2
TXN0000016802,2,2,2,2,2
TXN0000016862,2,2,2,2,2
TXN0000016870,2,2,2,2,2
TXN0000016883,2,2,2,2,2
TXN0000016939,2,2,2,2,2
TXN0000016946,2,2,2,2,1
TXN0000016955,2,2,2,2,2
TXN0000016956,2,2,2,2,1
TXN0000016976,2,2,2,2,2
TXN0000016980,2,2,2,2,2
TXN0000016981,2,2,2,2,2
TXN0000016992,3,3,3,3,3
TXN0000017040,2,2,2,2,2
TXN0000017054,2,2,2,2,2
TXN0000017088,2,2,2,2,2
TXN0000017102,3,3,3,3,3
TXN0000017133,2,2,2,2,2
TXN0000017137,2,2,2,2,2
TXN0000017143,2,2,2,2,2
TXN0000017184,2,2,2,2,2
TXN0000017199,2,2,2,2,1
TXN0000017261,2,2,2,2,2
TXN0000017304,3,3,3,3,3
TXN0000017308,2,2,2,2,2
TXN0000017339,2,2,2,2,2
TXN0000017350,2,2,2,2,2
TXN0000017352,2,1,1,1,1
TXN0000017355,2,1,1,1,1
TXN0000017361,2,2,2,2,2
TXN0000017375,2,2,2,2,1
TXN0000017398,2,2,2,2,2
TXN0000017481,2,2,2,2,2
TXN0000017532,2,2,2,2,2
TXN0000017563,2,2,2,2,2
TXN0000017587,2,2,2,2,2
TXN0000017590,2,2,2,2,2
TXN0000017595,2,2,2,2,2
TXN0000017620,2,2,2,2,2
TXN0000017637,2,2,2,2,2
TXN0000017638,2,2,2,2,2
TXN0000017645,2,2,2,2,2
TXN0000017662,3,3,3,3,3
TXN0000017681,2,2,2,2,2
TXN0000017690,2,2,2,2,2
TXN0000017708,2,2,2,2,2
TXN0000017713,2,2,2,2,2
TXN0000017738,2,2,2,2,2
TXN0000017749,2,2,2,2,2
TXN0000017770,2,2,2,2,2
TXN0000017775,2,2,2,2,2
TXN0000017818,2,2,2,2,2
TXN0000017838,2,2,2,2,2
TXN0000017865,2,2,2,2,1
TXN0000017874,3,3,3,3,3
TXN0000017877,2,2,2,2,2
TXN0000017905,2,2,2,2,2
TXN0000017911,2,2,2,2,2
TXN0000017924,2,1,1,1,1
TXN0000017929,2,1,1,1,1
TXN0000017997,2,2,2,2,2
TXN0000018026,2,2,2,2,2
TXN0000018061,2,2,2,2,2
TXN0000018095,2,2,2,2,2
TXN0000018099,2,2,2,2,2
TXN0000018127,2,1,1,1,1
TXN0000018141,2,1,1,1,1
TXN0000018144,2,2,2,2,2
TXN0000018181,2,2,2,2,1
TXN0000018193,3,3,3,3,2
TXN0000018223,2,2,2,2,2
TXN0000018235,2,2,2,2,2
TXN0000018248,2,2,2,2,2
TXN0000018268,2,2,2,2,2
TXN0000018278,2,2,2,2,2
TXN0000018279,2,2,2,2,2
TXN0000018300,2,2,2,2,2
TXN0000018303,2,2,2,2,2
TXN0000018314,2,2,2,2,2
TXN0000018332,2,2,2,2,2
TXN0000018361,2,2,2,2,2
TXN0000018381,2,2,2,2,2
TXN0000018401,2,2,2,2,2
TXN0000018410,2,2,2,2,2
TXN0000018457,2,2,2,2,2
TXN0000018467,2,1,1,1,1
TXN0000018492,2,2,2,2,2
TXN0000018521,2,2,2,2,2
TXN0000018571,2,2,2,2,2
TXN0000018576,2,1,1,1,1
TXN0000018593,3,3,3,3,3
TXN0000018599,2,2,2,2,2
TXN0000018611,2,2,2,2,2
TXN0000018628,2,2,2,2,2
TXN0000018639,2,1,1,1,1
TXN0000018649,4,3,3,3,3
TXN0000018721,2,2,2,2,2
TXN0000018726,2,2,2,2,2
TXN0000018742,2,2,2,2,2
TXN0000018751,2,2,2,2,2
TXN0000018764,3,2,2,2,2
TXN0000018769,2,2,2,2,2
TXN0000018817,2,2,2,2,2
TXN0000018830,2,2,2,2,2
TXN0000018848,2,2,2,2,2
TXN0000018851,2,2,2,2,2
TXN0000018852,2,2,2,2,2
TXN0000018863,2,1,1,1,1
TXN0000018870,2,2,2,2,2
TXN0000018888,2,2,2,2,2
TXN0000018895,2,2,2,2,2
TXN0000018922,3,3,3,3,3
TXN0000018924,2,2,2,2,2
TXN0000018934,2,2,2,2,2
TXN0000018949,2,2,2,2,2
TXN0000018953,2,2,2,2,2
TXN0000018966,2,2,2,2,2
TXN0000018971,2,1,1,1,1
TXN0000018985,2,2,2,2,2
TXN0000019006,2,2,2,2,2
TXN0000019011,2,2,2,2,2
TXN0000019072,2,2,2,2,1
TXN0000019086,2,2,2,2,2
TXN0000019100,3,3,3,3,2
TXN0000019104,3,2,2,2,2
TXN0000019138,2,2,2,2,2
TXN0000019149,2,2,2,2,2
TXN0000019152,2,1,1,1,1
TXN0000019162,2,2,2,2,2
TXN0000019165,2,2,2,2,2
TXN0000019195,2,2,2,2,2
TXN0000019236,2,2,2,2,2
TXN0000019254,2,2,2,2,2
TXN0000019299,2,2,2,2,2
TXN0000019306,2,2,2,2,2
TXN0000019317,2,2,2,2,2
TXN0000019320,2,2,2,2,2
TXN0000019325,2,2,2,2,2
TXN0000019330,2,2,2,2,2
TXN0000019409,3,2,2,2,2
TXN0000019429,2,2,2,2,1
TXN0000019457,2,2,2,2,2
TXN0000019460,2,2,2,2,2
TXN0000019466,3,2,2,2,2
TXN0000019480,2,2,2,2,2
TXN0000019481,2,1,1,1,1
TXN0000019493,2,1,1,1,1
TXN0000019497,2,2,2,2,2
TXN0000019498,2,2,2,2,2
TXN0000019499,3,3,3,3,3
TXN0000019513,2,2,2,2,2
TXN0000019565,3,3,3,3,2
TXN0000019587,3,3,3,3,3
TXN0000019616,2,1,1,1,1
TXN0000019637,2,2,2,2,2
TXN0000019670,2,2,2,2,2
TXN0000019675,2,2,2,2,2
TXN0000019705,2,2,2,2,2
TXN0000019723,2,2,2,2,2
TXN0000019726,2,1,1,1,1
TXN0000019733,3,2,2,2,2
TXN0000019762,2,1,1,1,1
TXN0000019776,3,2,2,2,2
TXN0000019804,2,2,2,2,2
TXN0000019820,2,2,2,2,2
TXN0000019832,2,2,2,2,2
TXN0000019847,2,2,2,2,2
TXN0000019850,2,2,2,2,2
TXN0000019894,3,3,3,3,3
TXN0000019909,2,2,2,2,2
TXN0000019911,2,2,2,2,2
TXN0000019912,2,2,2,2,2
TXN0000019926,2,2,2,2,2
TXN0000019940,2,2,2,2,2
TXN0000019944,2,1,1,1,1
TXN0000019963,2,2,2,2,2
TXN0000019969,2,1,1,1,1
TXN0000019972,2,2,2,2,2
TXN0000020022,4,4,4,4,4
TXN0000020070,2,2,2,2,2
TXN0000020073,2,2,2,2,1
TXN0000020083,2,2,2,2,2
TXN0000020084,3,2,2,2,2
TXN0000020120,2,2,2,2,2
TXN0000020131,3,2,2,2,2
TXN0000020169,2,2,2,2,2
TXN0000020196,2,2,2,2,2
TXN0000020205,2,2,2,2,2
TXN0000020227,4,4,4,4,3
TXN0000020251,2,2,2,2,2
TXN0000020268,2,2,2,2,1
TXN0000020314,3,3,3,3,3
TXN0000020315,2,2,2,2,1
TXN0000020321,3,3,3,3,3
TXN0000020360,2,2,2,2,2
TXN0000020361,2,2,2,2,2
TXN0000020385,2,2,2,2,2
TXN0000020391,2,2,2,2,1
TXN0000020396,2,2,2,2,2
TXN0000020429,2,2,2,2,2
TXN0000020452,2,2,2,2,2
TXN0000020453,2,2,2,2,2
TXN0000020456,2,2,2,2,2
TXN0000020457,2,2,2,2,2
TXN0000020463,2,2,2,2,2
TXN0000020470,2,2,2,2,2
TXN0000020474,2,2,2,2,2
TXN0000020481,2,2,2,2,2
TXN0000020521,2,2,2,2,2
TXN0000020522,2,2,2,2,2
TXN0000020534,2,2,2,2,2
TXN0000020535,2,2,2,2,2
TXN0000020541,3,3,3,3,3
TXN0000020542,2,2,2,2,2
TXN0000020553,2,2,2,2,2
TXN0000020556,2,2,2,2,2
TXN0000020561,2,1,1,1,1
TXN0000020575,2,1,1,1,1
TXN0000020585,2,2,2,2,2
TXN0000020600,2,2,2,2,2
TXN0000020620,2,2,2,2,2
TXN0000020655,2,2,2,2,2
TXN0000020662,2,2,2,2,2
TXN0000020665,2,2,2,2,2
TXN0000020707,3,2,2,2,1
TXN0000020738,2,2,2,2,2
TXN0000020744,2,2,2,2,1
TXN0000020749,2,1,1,1,1
TXN0000020796,2,2,2,2,2
TXN0000020812,2,2,2,2,1
TXN0000020826,2,2,2,2,2
TXN0000020861,3,3,3,3,3
TXN0000020877,2,1,1,1,1
TXN0000020879,2,2,2,2,2
TXN0000020898,2,2,2,2,2
TXN0000020906,2,2,2,2,2
TXN0000020910,2,2,2,2,2
TXN0000020934,2,2,2,2,2
TXN0000020940,2,2,2,2,2
TXN0000020957,2,2,2,2,2
TXN0000020975,2,2,2,2,2
TXN0000020994,2,2,2,2,1
TXN0000021004,2,2,2,2,2
TXN0000021022,2,2,2,2,2
TXN0000021047,2,2,2,2,2
TXN0000021104,2,2,2,2,2
TXN0000021122,2,2,2,2,2
TXN0000021131,2,2,2,2,2
TXN0000021146,2,2,2,2,2
TXN0000021151,2,2,2,2,2
TXN0000021171,2,2,2,2,2
TXN0000021172,2,2,2,2,2
TXN0000021184,2,2,2,2,2
TXN0000021226,2,2,2,2,2
TXN0000021233,3,3,3,3,2
TXN0000021276,2,2,2,2,2
TXN0000021284,2,2,2,2,2
TXN0000021285,2,2,2,2,2
TXN0000021286,2,2,2,2,2
TXN0000021308,2,2,2,2,2
TXN0000021344,2,2,2,2,2
TXN0000021371,2,2,2,2,2
TXN0000021385,2,2,2,2,2
TXN0000021392,2,2,2,2,1
TXN0000021450,2,2,2,2,2
TXN0000021461,2,2,2,2,2
TXN0000021469,2,2,2,2,2
TXN0000021475,3,3,3,3,3
TXN0000021482,5,4,4,4,4
TXN0000021501,2,2,2,2,2
TXN0000021523,2,2,2,2,2
TXN0000021551,2,2,2,2,2
TXN0000021573,2,1,1,1,1
TXN0000021602,2,1,1,1,1
TXN0000021606,3,3,3,3,2
TXN0000021697,2,2,2,2,2
TXN0000021714,2,2,2,2,1
TXN0000021718,2,2,2,2,2
TXN0000021733,2,2,2,2,2
TXN0000021745,3,3,3,3,2
TXN0000021769,2,2,2,2,2
TXN0000021782,2,2,2,2,1
TXN0000021820,2,2,2,2,2
TXN0000021882,2,2,2,2,2
TXN0000021889,2,2,2,2,2
TXN0000021928,2,2,2,2,1
TXN0000021930,2,2,2,2,2
TXN0000021948,2,2,2,2,2
TXN0000021993,2,2,2,2,2
TXN0000022006,2,2,2,2,2
TXN0000022012,2,2,2,2,2
TXN0000022033,2,2,2,2,2
TXN0000022038,2,2,2,2,2
TXN0000022066,2,2,2,2,2
TXN0000022109,2,2,2,2,2
TXN0000022123,2,2,2,2,2
TXN0000022132,3,3,3,3,3
TXN0000022133,2,2,2,2,2
TXN0000022142,3,2,2,2,2
TXN0000022172,2,2,2,2,2
TXN0000022176,3,3,3,3,3
TXN0000022185,2,2,2,2,2
TXN0000022199,3,3,3,3,3
TXN0000022206,2,2,2,2,1
TXN0000022250,2,2,2,2,1
TXN0000022258,2,2,2,2,2
TXN0000022285,2,2,2,2,2
TXN0000022312,2,2,2,2,2
TXN0000022342,2,2,2,2,2
TXN0000022346,2,2,2,2,2
TXN0000022352,2,2,2,2,2
TXN0000022370,2,2,2,2,2
TXN0000022371,2,2,2,2,2
TXN0000022396,2,2,2,2,2
TXN0000022445,2,2,2,2,2
TXN0000022456,2,2,2,2,2
TXN0000022457,2,2,2,2,1
TXN0000022471,2,2,2,2,2
TXN0000022483,2,1,1,1,1
TXN0000022532,2,2,2,2,2
TXN0000022533,2,2,2,2,2
TXN0000022546,2,2,2,2,2
TXN0000022582,2,2,2,2,2
TXN0000022586,2,2,2,2,2
TXN0000022605,2,2,2,2,2
TXN0000022650,3,3,3,3,3
TXN0000022669,2,2,2,2,2
TXN0000022672,3,3,3,3,3
TXN0000022696,2,2,2,2,2
TXN0000022740,3,3,3,3,3
TXN0000022788,3,3,3,3,3
TXN0000022792,2,2,2,2,2
TXN0000022800,2,2,2,2,2
TXN0000022814,2,2,2,2,2
TXN0000022837,2,2,2,2,1
TXN0000022843,2,2,2,2,2
TXN0000022850,2,2,2,2,2
TXN0000022868,2,2,2,2,2
TXN0000022884,2,2,2,2,2
TXN0000022942,2,2,2,2,2
TXN0000022967,2,2,2,2,2
TXN0000022976,2,2,2,2,2
TXN0000022977,2,2,2,2,2
TXN0000022982,2,2,2,2,1
TXN0000022990,2,2,2,2,2
TXN0000023022,2,2,2,2,1
TXN0000023069,2,2,2,2,2
TXN0000023072,2,2,2,2,2
TXN0000023074,2,2,2,2,2
TXN0000023091,2,2,2,2,2
TXN0000023104,2,2,2,2,2
TXN0000023153,2,2,2,2,2
TXN0000023170,2,1,1,1,1
TXN0000023176,2,2,2,2,2
TXN0000023177,2,2,2,2,2
TXN0000023185,3,3,3,3,3
TXN0000023208,2,2,2,2,2
TXN0000023225,2,2,2,2,2
TXN0000023267,2,2,2,2,2
TXN0000023274,2,2,2,2,2
TXN0000023282,2,2,2,2,2
TXN0000023298,2,2,2,2,2
TXN0000023299,2,2,2,2,2
TXN0000023314,2,2,2,2,2
TXN0000023335,2,2,2,2,2
TXN0000023426,2,2,2,2,2
TXN0000023472,2,2,2,2,2
TXN0000023475,2,2,2,2,2
TXN0000023483,2,2,2,2,2
TXN0000023522,2,2,2,2,2
TXN0000023531,2,1,1,1,1
TXN0000023556,2,2,2,2,1
TXN0000023613,2,2,2,2,2
TXN0000023677,2,2,2,2,2
TXN0000023687,2,2,2,2,2
TXN0000023695,3,3,3,3,3
TXN0000023748,2,2,2,2,2
TXN0000023754,2,1,1,1,1
TXN0000023766,2,2,2,2,2
TXN0000023854,2,2,2,2,2
TXN0000023879,2,2,2,2,2
TXN0000023934,2,2,2,2,2
TXN0000023957,2,2,2,2,2
TXN0000023980,2,2,2,2,2
TXN0000023981,2,2,2,2,2
TXN0000024003,2,2,2,2,2
TXN0000024008,2,1,1,1,1
TXN0000024013,2,2,2,2,2
TXN0000024028,2,2,2,2,2
TXN0000024033,2,2,2,2,2
TXN0000024051,2,2,2,2,2
TXN0000024069,2,2,2,2,1
TXN0000024093,2,2,2,2,2
TXN0000024131,2,2,2,2,2
TXN0000024140,2,2,2,2,2
TXN0000024159,2,2,2,2,2
TXN0000024162,2,1,1,1,1
TXN0000024200,2,2,2,2,2
TXN0000024210,2,2,2,2,2
TXN0000024234,2,2,2,2,2
TXN0000024258,2,1,1,1,1
TXN0000024299,2,1,1,1,1
TXN0000024300,2,2,2,2,2
TXN0000024310,2,2,2,2,2
TXN0000024329,2,2,2,2,2
TXN0000024358,2,2,2,2,2
TXN0000024360,2,2,2,2,2
TXN0000024417,2,2,2,2,2
TXN0000024478,2,2,2,2,2
TXN0000024496,2,2,2,2,2
TXN0000024499,2,2,2,2,2
TXN0000024512,2,2,2,2,2
TXN0000024513,3,3,3,3,3
TXN0000024526,2,2,2,2,2
TXN0000024532,2,2,2,2,2
TXN0000024533,2,2,2,2,2
TXN0000024536,2,2,2,2,2
TXN0000024538,2,2,2,2,2
TXN0000024609,2,2,2,2,2
TXN0000024671,2,1,1,1,1
TXN0000024690,2,2,2,2,2
TXN0000024707,2,2,2,2,2
TXN0000024716,2,2,2,2,1
TXN0000024723,2,2,2,2,2
TXN0000024746,2,2,2,2,2
TXN0000024752,2,2,2,2,2
TXN0000024775,2,1,1,1,1
TXN0000024792,2,2,2,2,2
TXN0000024833,2,2,2,2,2
TXN0000024854,2,2,2,2,1
TXN0000024857,2,2,2,2,2
TXN0000024858,2,1,1,1,1
TXN0000024863,2,2,2,2,2
TXN0000024867,2,2,2,2,2
TXN0000024870,3,2,2,2,2
TXN0000024871,2,2,2,2,2
TXN0000024874,2,2,2,2,2
TXN0000024887,2,1,1,1,1
TXN0000024900,2,2,2,2,2
TXN0000024907,2,2,2,2,2
TXN0000024911,2,2,2,2,2
TXN0000024933,3,3,3,3,3
TXN0000024954,2,2,2,2,2
TXN0000024963,2,2,2,2,2
TXN0000025010,2,1,1,1,1
TXN0000025122,2,2,2,2,2
TXN0000025127,2,2,2,2,2
TXN0000025144,2,2,2,2,2
TXN0000025161,3,3,3,3,2
TXN0000025210,2,2,2,2,2
TXN0000025238,2,2,2,2,2
TXN0000025252,2,1,1,1,1
TXN0000025254,3,3,3,3,3
TXN0000025257,2,2,2,2,1
TXN0000025264,2,2,2,2,1
TXN0000025276,2,2,2,2,2
TXN0000025287,2,2,2,2,1
TXN0000025313,3,2,2,2,2
TXN0000025345,4,4,4,4,4
TXN0000025351,2,2,2,2,2
TXN0000025367,2,1,1,1,1
TXN0000025391,2,2,2,2,2
TXN0000025449,2,2,2,2,2
TXN0000025472,2,2,2,2,2
TXN0000025489,4,3,3,3,3
TXN0000025503,2,2,2,2,2
TXN0000025507,2,2,2,2,1
TXN0000025511,2,2,2,2,2
TXN0000025523,3,3,3,3,3
TXN0000025546,2,1,1,1,1
TXN0000025559,3,3,3,3,2
TXN0000025564,2,2,2,2,2
TXN0000025567,2,1,1,1,1
TXN0000025614,2,1,1,1,1
TXN0000025621,2,2,2,2,2
TXN0000025623,2,2,2,2,2
TXN0000025636,2,2,2,2,2
TXN0000025639,2,2,2,2,2
TXN0000025641,2,2,2,2,2
TXN0000025687,2,2,2,2,2
TXN0000025702,3,3,3,3,3
TXN0000025703,2,2,2,2,2
TXN0000025718,3,3,3,3,3
TXN0000025796,2,2,2,2,2
TXN0000025847,2,2,2,2,2
TXN0000025872,2,2,2,2,2
TXN0000025887,2,1,1,1,1
TXN0000025891,2,2,2,2,2
TXN0000025907,2,2,2,2,1
TXN0000025929,2,2,2,2,2
TXN0000025944,2,1,1,1,1
TXN0000025949,2,2,2,2,2
TXN0000025967,2,2,2,2,2
TXN0000025974,2,2,2,2,2
TXN0000025997,2,1,1,1,1
TXN0000026018,3,3,3,3,2
TXN0000026024,3,2,2,2,2
TXN0000026026,2,2,2,2,2
TXN0000026032,2,1,1,1,1
TXN0000026035,2,2,2,2,2
TXN0000026054,2,2,2,2,2
TXN0000026056,2,2,2,2,2
TXN0000026076,3,2,2,2,2
TXN0000026079,2,2,2,2,2
TXN0000026084,2,2,2,2,2
TXN0000026176,2,2,2,2,2
TXN0000026199,2,2,2,2,2
TXN0000026215,2,2,2,2,2
TXN0000026230,2,2,2,2,2
TXN0000026235,2,2,2,2,1
TXN0000026238,3,2,2,2,2
TXN0000026244,2,2,2,2,2
TXN0000026245,2,1,1,1,1
TXN0000026256,2,2,2,2,2
TXN0000026279,2,2,2,2,1
TXN0000026292,3,3,3,3,2
TXN0000026304,2,2,2,2,2
TXN0000026308,2,2,2,2,2
TXN0000026309,2,2,2,2,2
TXN0000026328,2,2,2,2,2
TXN0000026381,2,2,2,2,2
TXN0000026388,2,2,2,2,2
TXN0000026403,2,2,2,2,2
TXN0000026406,2,2,2,2,2
TXN0000026444,2,2,2,2,2
TXN0000026457,2,2,2,2,2
TXN0000026465,2,2,2,2,2
TXN0000026479,2,2,2,2,2
TXN0000026500,2,2,2,2,2
TXN0000026515,2,2,2,2,2
TXN0000026578,2,2,2,2,2
TXN0000026582,2,2,2,2,2
TXN0000026623,2,2,2,2,2
TXN0000026628,2,2,2,2,2
TXN0000026647,2,2,2,2,2
TXN0000026698,2,2,2,2,2
TXN0000026708,2,2,2,2,2
TXN0000026730,2,2,2,2,2
TXN0000026738,3,3,3,3,3
TXN0000026740,2,1,1,1,1
TXN0000026790,2,2,2,2,2
TXN0000026799,2,2,2,2,2
TXN0000026814,2,2,2,2,2
TXN0000026823,2,2,2,2,2
TXN0000026833,3,3,3,3,2
TXN0000026848,3,3,3,3,2
TXN0000026886,2,2,2,2,2
TXN0000026896,3,3,3,3,3
TXN0000026909,3,3,3,3,3
TXN0000026917,2,1,1,1,1
TXN0000026930,3,3,3,3,2
TXN0000026954,2,2,2,2,2
TXN0000026991,2,2,2,2,2
TXN0000027002,2,2,2,2,2
TXN0000027022,2,2,2,2,2
TXN0000027026,2,2,2,2,2
TXN0000027063,2,2,2,2,2
TXN0000027082,2,2,2,2,2
TXN0000027105,2,2,2,2,2
TXN0000027154,2,2,2,2,2
TXN0000027208,2,2,2,2,2
TXN0000027222,2,2,2,2,2
TXN0000027229,2,2,2,2,2
TXN0000027248,2,2,2,2,2
TXN0000027252,2,2,2,2,2
TXN0000027266,2,2,2,2,2
TXN0000027297,2,2,2,2,2
TXN0000027327,2,2,2,2,2
TXN0000027341,2,2,2,2,2
TXN0000027344,2,2,2,2,2
TXN0000027380,2,2,2,2,2
TXN0000027399,2,2,2,2,2
TXN0000027440,4,3,3,3,3
TXN0000027442,2,2,2,2,2
TXN0000027447,3,3,3,3,2
TXN0000027450,2,2,2,2,2
TXN0000027476,3,3,3,3,3
TXN0000027511,2,2,2,2,2
TXN0000027531,2,2,2,2,2
TXN0000027544,2,2,2,2,2
TXN0000027575,2,2,2,2,2
TXN0000027590,2,2,2,2,2
TXN0000027592,2,2,2,2,2
TXN0000027626,2,2,2,2,2
TXN0000027659,2,2,2,2,2
TXN0000027680,2,2,2,2,2
TXN0000027686,2,2,2,2,2
TXN0000027693,3,3,3,3,3
TXN0000027694,2,2,2,2,2
TXN0000027712,2,2,2,2,2
TXN0000027713,2,2,2,2,2
TXN0000027810,2,2,2,2,2
TXN0000027825,2,2,2,2,2
TXN0000027847,2,2,2,2,1
TXN0000027848,2,1,1,1,1
TXN0000027899,2,2,2,2,2
TXN0000027900,2,1,1,1,1
TXN0000027908,2,2,2,2,2
TXN0000027954,4,4,4,4,4
TXN0000027959,2,2,2,2,2
TXN0000027991,2,2,2,2,2
TXN0000028024,2,2,2,2,2
TXN0000028027,2,2,2,2,2
TXN0000028031,2,1,1,1,1
TXN0000028032,2,2,2,2,2
TXN0000028061,2,1,1,1,1
TXN0000028073,2,2,2,2,2
TXN0000028097,3,2,2,2,2
TXN0000028112,2,2,2,2,2
TXN0000028135,2,1,1,1,1
TXN0000028148,2,2,2,2,2
TXN0000028151,2,2,2,2,2
TXN0000028157,2,2,2,2,2
TXN0000028165,2,2,2,2,2
TXN0000028174,3,2,2,2,2
TXN0000028199,2,2,2,2,2
TXN0000028210,2,2,2,2,2
TXN0000028226,3,3,3,3,3
TXN0000028230,2,2,2,2,2
TXN0000028231,3,3,3,3,3
TXN0000028235,2,2,2,2,2
TXN0000028251,2,2,2,2,2
TXN0000028281,2,2,2,2,2
TXN0000028293,2,2,2,2,2
TXN0000028300,3,3,3,3,3
TXN0000028321,2,2,2,2,2
TXN0000028400,2,2,2,2,2
TXN0000028410,2,2,2,2,2
TXN0000028426,2,2,2,2,2
TXN0000028428,2,2,2,2,1
TXN0000028470,2,2,2,2,2
TXN0000028477,2,2,2,2,2
TXN0000028485,2,2,2,2,1
TXN0000028567,2,2,2,2,2
TXN0000028584,2,2,2,2,2
TXN0000028602,2,2,2,2,2
TXN0000028642,2,1,1,1,1
TXN0000028650,2,2,2,2,2
TXN0000028710,2,2,2,2,1
TXN0000028725,3,2,2,2,2
TXN0000028736,2,2,2,2,2
TXN0000028766,2,2,2,2,2
TXN0000028811,3,2,2,2,1
TXN0000028867,3,3,3,3,3
TXN0000028880,2,2,2,2,2
TXN0000028882,2,2,2,2,2
TXN0000028891,2,2,2,2,2
TXN0000028911,2,2,2,2,2
